Name	Version	Architecturet	Description
adduser	3.118ubuntu2	all	add and remove users and groups
apt	2.0.10	amd64	commandline package manager
at	3.1.23-1ubuntu1	amd64	Delayed job execution and batch processing
autoconf	2.69-11.1	all	automatic configure script builder
automake	1:1.16.1-4ubuntu6	all	Tool for generating GNU Standards-compliant Makefiles
autopoint	0.19.8.1-10build1	all	autopoint program from GNU gettext
autotools-dev	20180224.1	all	Update infrastructure for config.{guess,sub} files
base-files	11ubuntu5.7	amd64	Debian base system miscellaneous files
base-passwd	3.5.47	amd64	Debian base system master password and group files
bash	5.0-6ubuntu1.2	amd64	GNU Bourne Again SHell
binutils	2.34-6ubuntu1.6	amd64	GNU assembler, linker and binary utilities
binutils-common:amd64	2.34-6ubuntu1.6	amd64	Common files for the GNU assembler, linker and binary utilities
binutils-x86-64-linux-gnu	2.34-6ubuntu1.6	amd64	GNU binary utilities, for x86-64-linux-gnu target
bsdmainutils	11.1.2ubuntu3	amd64	collection of more utilities from FreeBSD
bsdutils	1:2.34-0.1ubuntu9.4	amd64	basic utilities from 4.4BSD-Lite
build-essential	12.8ubuntu1.1	amd64	Informational list of build-essential packages
bzip2	1.0.8-2	amd64	high-quality block-sorting file compressor - utilities
ca-certificates	20230311ubuntu0.20.04.1	all	Common CA certificates
coreutils	8.30-3ubuntu2	amd64	GNU core utilities
cpp	4:9.3.0-1ubuntu2	amd64	GNU C preprocessor (cpp)
cpp-9	9.4.0-1ubuntu1~20.04.2	amd64	GNU C preprocessor
curl	7.68.0-1ubuntu2.20	amd64	command line tool for transferring data with URL syntax
dash	0.5.10.2-6	amd64	POSIX-compliant shell
dctrl-tools	2.24-3	amd64	Command-line tools to process Debian package information
debconf	1.5.73	all	Debian configuration management system
debhelper	12.10ubuntu1	all	helper programs for debian/rules
debianutils	4.9.1	amd64	Miscellaneous utilities specific to Debian
devscripts	2.20.2ubuntu2	amd64	scripts to make the life of a Debian Package maintainer easier
dh-autoreconf	19	all	debhelper add-on to call autoreconf and clean up after the build
dh-strip-nondeterminism	1.7.0-1	all	file non-deterministic information stripper — Debhelper add-on
diffstat	1.63-1	amd64	produces graph of changes introduced by a diff file
diffutils	1:3.7-3	amd64	File comparison utilities
dirmngr	2.2.19-3ubuntu2.2	amd64	GNU privacy guard - network certificate management service
distro-info-data	0.43ubuntu1.14	all	information about the distributions' releases (data files)
dpkg	1.19.7ubuntu3.2	amd64	Debian package management system
dpkg-dev	1.19.7ubuntu3.2	all	Debian package development tools
dput	1.0.3ubuntu1.1	all	Debian package upload tool
dwz	0.13-5	amd64	DWARF compression tool
e2fsprogs	1.45.5-2ubuntu1.1	amd64	ext2/ext3/ext4 file system utilities
fakeroot	1.24-1	amd64	tool for simulating superuser privileges
fdisk	2.34-0.1ubuntu9.4	amd64	collection of partitioning utilities
file	1:5.38-4	amd64	Recognize the type of data in a file using magic numbers
findutils	4.7.0-1ubuntu1	amd64	utilities for finding files--find, xargs
g++	4:9.3.0-1ubuntu2	amd64	GNU C++ compiler
g++-9	9.4.0-1ubuntu1~20.04.2	amd64	GNU C++ compiler
gcc	4:9.3.0-1ubuntu2	amd64	GNU C compiler
gcc-10-base:amd64	10.5.0-1ubuntu1~20.04	amd64	GCC, the GNU Compiler Collection (base package)
gcc-9	9.4.0-1ubuntu1~20.04.2	amd64	GNU C compiler
gcc-9-base:amd64	9.4.0-1ubuntu1~20.04.2	amd64	GCC, the GNU Compiler Collection (base package)
gettext	0.19.8.1-10build1	amd64	GNU Internationalization utilities
gettext-base	0.19.8.1-10build1	amd64	GNU Internationalization utilities for the base system
git	1:2.25.1-1ubuntu3.11	amd64	fast, scalable, distributed revision control system
git-man	1:2.25.1-1ubuntu3.11	all	fast, scalable, distributed revision control system (manual pages)
gnupg	2.2.19-3ubuntu2.2	all	GNU privacy guard - a free PGP replacement
gnupg-l10n	2.2.19-3ubuntu2.2	all	GNU privacy guard - localization files
gnupg-utils	2.2.19-3ubuntu2.2	amd64	GNU privacy guard - utility programs
gpg	2.2.19-3ubuntu2.2	amd64	GNU Privacy Guard -- minimalist public key operations
gpg-agent	2.2.19-3ubuntu2.2	amd64	GNU privacy guard - cryptographic agent
gpg-wks-client	2.2.19-3ubuntu2.2	amd64	GNU privacy guard - Web Key Service client
gpg-wks-server	2.2.19-3ubuntu2.2	amd64	GNU privacy guard - Web Key Service server
gpgconf	2.2.19-3ubuntu2.2	amd64	GNU privacy guard - core configuration utilities
gpgsm	2.2.19-3ubuntu2.2	amd64	GNU privacy guard - S/MIME version
gpgv	2.2.19-3ubuntu2.2	amd64	GNU privacy guard - signature verification tool
grep	3.4-1	amd64	GNU grep, egrep and fgrep
groff-base	1.22.4-4build1	amd64	GNU troff text-formatting system (base system components)
gzip	1.10-0ubuntu4.1	amd64	GNU compression utilities
hostname	3.23	amd64	utility to set/show the host name or domain name
init-system-helpers	1.57	all	helper tools for all init systems
intltool-debian	0.35.0+20060710.5	all	Help i18n of RFC822 compliant config files
iso-codes	4.4-1	all	ISO language, territory, currency, script codes and their translations
krb5-locales	1.17-6ubuntu4.4	all	internationalization support for MIT Kerberos
less	551-1ubuntu0.1	amd64	pager program similar to more
libacl1:amd64	2.2.53-6	amd64	access control list - shared library
libalgorithm-diff-perl	1.19.03-2	all	module to find differences between files
libalgorithm-diff-xs-perl	0.04-6	amd64	module to find differences between files (XS accelerated)
libalgorithm-merge-perl	0.08-3	all	Perl module for three-way merge of textual data
libapt-pkg-perl	0.1.36build3	amd64	Perl interface to libapt-pkg
libapt-pkg6.0:amd64	2.0.10	amd64	package management runtime library
libarchive-cpio-perl	0.10-1	all	module for manipulations of cpio archives
libarchive-zip-perl	1.67-2	all	Perl module for manipulation of ZIP archives
libarray-intspan-perl	2.003-1	all	Handles arrays of scalars or objects using integer ranges as index
libasan5:amd64	9.4.0-1ubuntu1~20.04.2	amd64	AddressSanitizer -- a fast memory error detector
libasn1-8-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4	amd64	Heimdal Kerberos - ASN.1 library
libassuan0:amd64	2.5.3-7ubuntu2	amd64	IPC library for the GnuPG components
libasync-mergepoint-perl	0.04-2	all	Perl module to resynchronize multiple control flows
libatomic1:amd64	10.5.0-1ubuntu1~20.04	amd64	support library providing __atomic built-in functions
libattr1:amd64	1:2.4.48-5	amd64	extended attribute handling - shared library
libaudit-common	1:2.8.5-2ubuntu6	all	Dynamic library for security auditing - common files
libaudit1:amd64	1:2.8.5-2ubuntu6	amd64	Dynamic library for security auditing
libauthen-sasl-perl	2.1600-1	all	Authen::SASL - SASL Authentication framework
libb-hooks-endofscope-perl	0.24-1	all	module for executing code after a scope finished compilation
libb-hooks-op-check-perl	0.22-1build2	amd64	Perl wrapper for OP check callbacks
libbinutils:amd64	2.34-6ubuntu1.6	amd64	GNU binary utilities (private shared library)
libblkid1:amd64	2.34-0.1ubuntu9.4	amd64	block device ID library
libbrotli1:amd64	1.0.7-6ubuntu0.1	amd64	library implementing brotli encoder and decoder (shared libraries)
libbsd0:amd64	0.10.0-1	amd64	utility functions from BSD systems - shared library
libbz2-1.0:amd64	1.0.8-2	amd64	high-quality block-sorting file compressor library - runtime
